project_id,name,country,category,project_type,project_type_source,protocol,registry,status,first_issuance_at,issued,retired,project_url,review_priority,project_report_found,leakage_reporting_status,leakage_amount_tCO2e,leakage_method_or_basis,monitoring_period,verification_status,review_notes,leakage_evidence_type,report_source_url,report_source_section,review_checked_date,leakage_factor_pct,activity_shifting_status
VCS2952,Not Hot Afforestation project,Latvia,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/2952,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5164,Arbonics Afforestation Project Two,Latvia,forest,Afforestation + Reforestation,berkeley,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5164,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5515,Arbonics ARR Project Four,Latvia,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5515,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4286,Motor Verde+Floresta Forestry Carbon Project. Portugal Central Region I,Portugal,forest,Afforestation + Reforestation,berkeley,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4286,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4806,ATIV Carbon,Portugal,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4806,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4821,Land Life Reforestation and Restoration of Degraded Land in Portugal,Portugal,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4821,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5704,COMBINED NATIVE SPECIES RESTORATION AND EUCALYPTUS REFORESTATION IN THE BRAGANCA DISTRICT,Portugal,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5704,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
GLD11550,AR - Romania 1,Romania,unknown,Afforestation + Reforestation,berkeley,,gold-standard,listed,,0.0,0.0,https://registry.goldstandard.org/projects?q=gs11550,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS2650,ecoTrees AG – Paulownia Tree Plantation Management in Romania to Sell Wood Production and the Carbon Offsets,Romania,unknown,Afforestation + Reforestation,berkeley,,verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/2650,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3419,Reforestation of degraded land in Spain,Spain,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3419,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3813,MOTOR VERDE FORESTRY CARBON PROJECT - GRANDAS DE SALIME (SPAIN),Spain,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3813,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4739,Land Life Reforestation and Restoration of Degraded Land in Spain - B,Spain,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4739,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4741,Land Life Reforestation and Restoration of Degraded Land in Spain - A,Spain,forest,Afforestation + Reforestation,berkeley,['ar-am0003'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4741,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5562,Galician Atlantic Forest Restoration Grouped Project,Spain,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5562,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5968,Carbon Cork Resilience Project,Spain,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5968,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5397,Impact Forestry: 2024 Project 1,Estonia,forest,Improved Forest Management,carbonplan,['vm0045'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5397,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3363,Westphalen Forest Carbon Project,Germany,forest,Improved Forest Management,berkeley,['vm0012'],verra,registered,2024-03-06 00:00:00+00:00,25122.0,2488.0,https://registry.verra.org/app/projectDetail/VCS/3363,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Yes - monitoring report located,No activity-shifting leakage reported; market leakage deduction applied,,VM0012 activity-shifting leakage checked against harvest volumes on other controlled lands; market leakage assessed with the MARketz tool. A 20% market leakage factor was applied in the net GHG calculation; no absolute leakage total is extracted into this queue.,2022-01-01 to 2024-12-31,EPIC second verification; monitoring report v1.3 dated 2025-06-26,"The report states no activity-shifting leakage occurred in this period, and separately applies a 20% market leakage factor. A 20% factor is not a tCO2e amount. Do not read the activity-shifting result as zero total leakage.",Level 2 - project-reported monitoring and deduction factor,https://carbonmeld.com/docs/westphalen-forest-carbon-project-b9f64c/417af426c104a0cf.pdf,"Sections 4.3.3 and 5.3.1-5.3.2, PDF pp. 69-76; document prepared by Zimmfor Management Services Ltd.",2026-09-23,20.0,No activity-shifting leakage reported in 2022-2024 period
VCS2386,Rotunda Forest Carbon Project,Romania,forest,Improved Forest Management,berkeley,['vm0012'],verra,registered,2021-09-15 00:00:00+00:00,6624.0,5745.0,https://registry.verra.org/app/projectDetail/VCS/2386,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3280,Carpathia Forest Carbon Project,Romania,forest,Improved Forest Management,berkeley,['vm0012'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3280,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4321,Silvador Climate Action Initiative,Romania,forest,Improved Forest Management,berkeley,['vm0012'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4321,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4511,Silvador Climate Action,Romania,forest,Improved Forest Management,berkeley,['vm0012'],verra,unknown,2024-12-18 00:00:00+00:00,54285.0,245.0,https://registry.verra.org/app/projectDetail/VCS/4511,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Yes - joint validation and verification report located,Reported for the verified monitoring period,6893.0,VM0012 activity-shifting assessment and market leakage via the MARketz tool. VVB report describes a 10% market leakage factor; methodology default calculation would give 17.4%.,2020-08-01 to 2022-12-31,"EPIC joint validation and verification report, VCS v4.2; Table 31 reports the verified-period leakage total","Report total is 6,893 tCO2e for the verified period. Annual signs follow the report accounting convention. This is project-method accounting, not independent proof of wider displacement.",Level 2 - project-reported verified-period accounting,https://www.silvador.ro/dataroom,"Download VAL_VER_Report_VCS_ID_4511_Dated_07-11-2024.pdf; Quantification of leakage and Table 31 (PDF pp. 95-96, 127-128)",2026-09-23,10.0,Assessed; report also quantifies market leakage
VCS1501,Operation CO2 - La Muntanya d'Alinya,Spain,forest,Improved Forest Management,berkeley,"['ar-acm0003', 'vm0005']",verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/1501,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4833,EKEN IFM SWEDEN NORTH #1,Sweden,forest,Improved Forest Management,berkeley,['vm0045'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4833,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
GLD12459,European Soil Revitalization programme,Belgium,unknown,Sustainable Agriculture,berkeley,,gold-standard,unknown,,0.0,0.0,https://registry.goldstandard.org/projects?q=gs12459,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
GLD12461,VPA-2 Soil Revitalization project in Belgium 01,Belgium,unknown,Sustainable Agriculture,berkeley,,gold-standard,unknown,,0.0,0.0,https://registry.goldstandard.org/projects?q=gs12461,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4449,The High Impact carbon farming program of Bulgaria,Bulgaria,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4449,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4751,BULGARIAN SUSTAINABLE FARMING CARBON PROJECT,Bulgaria,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4751,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4022,AgreenaCarbon Project,Denmark,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,registered,2025-09-16 00:00:00+00:00,2324712.0,110104.0,https://registry.verra.org/app/projectDetail/VCS/4022,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Yes - validation report located,Ex-ante estimate; not an observed monitoring-period outcome,87250.58,"VCS validation report summary. Project accounts for market/manure leakage and leakage from organic amendments outside the project area, plus diversion of biomass residues used for energy in the baseline; the validator reviewed the approach and calculations.",20-year crediting period beginning 2021-09-15 (ex-ante total),"Earthood VVB validation report, VCS v4.2; leakage calculation reviewed","The 87,250.58 tCO2e is an ex-ante project estimate over the crediting period, not observed leakage. Do not compare directly with verified-period project totals.",Level 2 - project-reported ex-ante estimate,https://terrapass.com/wp-content/uploads/2025/02/AgreenaCarbon-Project-VCS-Validation-Report.pdf,"Quantification of leakage and summary table, PDF pp. 42-43; project period summary p. 3",2026-09-23,,Not isolated as activity shifting; report discusses market/manure and residue pathways
GLD12460,VPA-1 Soil Revitalization project in France 01,France,unknown,Sustainable Agriculture,berkeley,,gold-standard,unknown,,0.0,0.0,https://registry.goldstandard.org/projects?q=gs12460,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4096,Towards regenerative agriculture with French farmers in Brittany,France,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4096,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5118,Farm Resilience and Regeneration in France and Belgium,France,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5118,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5607,Humus Program,France,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5607,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3278,Future Soils and Sustainable Farming Initiative - Germany,Germany,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3278,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3645,Soil+ Project to Incentivize Emissions Reductions and Removals on Agricultural Land in Europe,Germany,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3645,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5233,Gut&Bösel: Living Soils Initiative,Germany,agriculture,Sustainable Agriculture,berkeley,"['vm0042', 'vm0047']",verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5233,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5249,EVOLVE SUSTAINABLE DAIRY FARMING PROJECT IN IRELAND,Ireland,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5249,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3242,AGRISOLERO CARBON FARMING IN NORTHERN ITALY,Italy,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3242,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3761,OLIVE GROVES FOR CARBON FARMING,Italy,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3761,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3902,LA GIOIA CARBON FARMING IN NORTHERN ITALY,Italy,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3902,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4061,THE LANDS OF WHEAT,Italy,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4061,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4418,The chestnut groves of Calabria and Campania,Italy,forest,Sustainable Agriculture,berkeley,"['ar-acm0003', 'vm0026', 'vm0042']",verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4418,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4532,INTELLIGENT AGRICULTURE OF THE MEDITERRANEAN,Italy,forest,Sustainable Agriculture,berkeley,"['ar-acm0003', 'vm0042']",verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4532,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4861,Rivulis Climate Row Crops in Europe (RCRC),Italy,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4861,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3714,The High Impact Carbon Farming Program of Lithuania,Lithuania,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3714,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4149,The High Impact Soil Carbon Program of Lithuania,Lithuania,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4149,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4201,The Carbon Farming Program of Lithuania,Lithuania,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,registered,2026-04-24 00:00:00+00:00,137177.0,2300.0,https://registry.verra.org/app/projectDetail/VCS/4201,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5766,Agrokoncernas Carbon Farming Initiative,Lithuania,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5766,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3903,The High Impact Carbon Farming Program of Poland,Poland,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3903,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4835,eAgronom sustainable farming in Central and Eastern Europe,Poland,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,registered,2026-02-18 00:00:00+00:00,29456.0,800.0,https://registry.verra.org/app/projectDetail/VCS/4835,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5125,Enhancing Agricultural Sustainability through Carbon Credits: Mzuri Improved Agricultural Management,Poland,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5125,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5567,Regenerative Agriculture Initiative 'Insoil',Poland,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5567,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5304,RIVULIS CLIMATE SUSTAINABLE ORCHARDS IN THE IBERIAN PENINSULA (RCSO),Portugal,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5304,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3973,"involtor Future Agriculture, East-Europe",Romania,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,unknown,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3973,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4579,REGENERATIVE AGRICULTURE AND CARBON PROJECT IN SPAIN,Spain,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4579,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5250,eAgronom Project for the Improvement of EU Soils Health,Spain,agriculture,Sustainable Agriculture,berkeley,['vm0042'],verra,unknown,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5250,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5440,OASIS AGRO CARBON agricultural adaptation and mitigation project,Spain,agriculture,Sustainable Agriculture,carbonplan,['vm0042'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5440,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3967,"VALLE LAGUNARE - VAL DOGA', CAPOSILE - VENICE CARBON CREDIT ASSESSMENT IN CONTROLLED LAGOON ENVIRONMENT",Italy,unknown,Wetland,berkeley,['vm0033'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3967,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5067,Aeco Peatland Restoration Latvia #1,Latvia,land-use,Wetland,berkeley,['vm0036'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5067,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
